Author,Rating,Review,Restaurant,Location,Label,Language
Kenneth Lee,4,"One of the few among the ""real local delicacies"" that is still worth the try. Really tasty and localise. If you're looking for Satay in Melaca, look no where and here's the one.",Restaurant Ban Lee Siang,Melaka,Positive,English
Thomas Chan,3,Crowded on a Thursday lunch time. However not my type of BKT.,Restaurant Shun Fa Bak Kut Teh,JB,Neutral,English
Eng Yang Khoo (EY Khoo),3,Everything is good n nice variety n selection. Pricey for Ipoh.,Little Elephant,Ipoh,Neutral,English
Preama Kandiah,4," Sangat sedap, kenyuk dan sedap Janggeri Janggeri yang kenyuk dan berperisa. Sangat sedap, kenyuk dan sedap.",Restoran Moga Punjab,Ipoh,Positive,Malay
2 sima,4,"The restaurant on the first floor of the Renaissance Johor Bahru. Morning is also here. Personally, the satisfaction changes with or without the noodle bar, but this is an ant so I'm satisfied.",Cafe BLD at Renaissance Johor Bahru Hotel,JB,Positive,English
Gary Lam,3,"It’s hardly to spot the entrance and you need to be very mindful of the entrance, you may refer to my pic for a feel of it. After turn in, turn right and just follow the path till the end of the road.",Restoran Pekin,JB,Neutral,English
Bayuu Haikalson,5, Memasak lemak nasi cili yang paling gemuk.,Dulang Lima Cafe,JB,Positive,Malay
Shirish WADIVKAR,5, Makanan yang hebat! Terutamanya roti!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,New Zealand Unlimited,JB,Positive,Malay
Lialye Lee,3,"3 star for polite waiters, but food... just ok",Miker Food,Ipoh,Neutral,English
Jie Xiao,4,Good choices of food and all are good,Moonlight Cake House (Sutera Utama),JB,Positive,English
David Leoputra,3,"Food not bad, but also not great.  Definitely not cheap.","The Container Cafe, Kuching",Kuching,Neutral,English
Desmond Ng,5, Salah satu makanan sedap di Melaka. Sudah banyak kali makan di sini. Sudah banyak kali makan di sini.,Nancy's Kitchen,Melaka,Positive,Malay
Alric Tong,2,"Only thing that taste great is their squid. The Kuey Teow ( Yut Kwong Ho) has severe charred taste, same as their Tai Pow noodles. really disappointed as they boasted greatly on their noodles dishes",Ipoh Tuck Kee Restaurant 德记炒粉专门店,Ipoh,Negative,English
jay Liew,4, Paparan yang bagus. Lihatlah.,Anjung Senibong,JB,Positive,Malay
Chelsea Cheow,5,Varieties of dim sum,Foh San Restaurant,Ipoh,Positive,English
Arthur Lee,4, Salah satu restoran Korea yang lebih baik di Kuching adalah salah satu restoran Korea yang terbaik di Kuching.,Koreana,Kuching,Positive,Malay
hanafiah abdan,4,Padu,Mat Corner Nasi Ambang,JB,Positive,English
Aisya Aziz,5, Perlu mencuba pizza dan ia adalah tomyam 😍😍😍,Miker Food,Ipoh,Positive,Malay
B T,1,"Honestly, is distasteful to name such food as ""satay""- with intestines or perhaps name it as ""loklok""!!!Really doubt whether customers patronized because of the popularity or truly",Sun May Hiong Satay House,Melaka,Negative,English
Nur Athirah Mashum,4,"Nice environment, a relaxing place to eat and the most important thing is the food. The food's great! Totally gonna recommend to my friends or family if they visited Kuching.",My Village Barok,Kuching,Positive,English
Betty Tan,1,Service is poor. Food is not great. Disappointment,Kim Cheong Restaurant,JB,Negative,English
Kazu Kook,5,"Please have the most delicious hamburger in Malacca in a nice space. When you step inside from the entrance, you will find a different space. The taste, atmosphere, music, and customer service are all pleasant, and it",The Baboon House,Melaka,Positive,English
Nazarani Games,3,Sanka rable,Curry House,Kuching,Neutral,English
One U,5,Steak with 50% is well done!,Volcano Grill Café,Ipoh,Positive,English
蕭靑嫦,4,good service，a bit less choice compare to some famous sushi restaurant,Sushi Mentai,Kuching,Positive,English
steven loke,5,Best beer in town,Fei Bo Snow Beer Ipoh Garden East 肥波雪花啤酒,Ipoh,Positive,English
Re Gal Lim,5," Munch menawarkan makanan Cina (seperti wantan, mi, sup ayam dengan herba, dll) dan pelbagai jenis roti. Ciabatta buatan sendiri, baguette, muffin Inggeris, scone, panini dengan bahan-bahan yang sedap dan manis boleh didapati di sini. Ia juga berfungsi sebagai makanan tambahan. Ia juga menyediakan pelbagai jenis roti. Ciabatta, baguette, muffin Inggeris, scone, panini dengan bahan-bahan yang sedap dan manis boleh didapati di sini. Ia juga berfungsi sebagai makanan tambahan. Ia juga menyediakan pelbagai jenis roti. Ia juga menyediakan pelbagai jenis roti. Ia juga menyediakan pelbagai jenis roti. Ia juga menyediakan pelbagai jenis roti.",Munch,Kuching,Positive,Malay
CC Lee,1," Makanan: Bad. Saya pergi dengan seorang kawan yang mengesyorkan restoran ini, saya rasa kita tidak akan kembali lagi. Saya tidak fikir kami akan kembali lagi. Saya tidak akan kembali lagi. Saya akan pergi dengan seorang kawan yang mengesyorkan restoran ini. Saya tidak pasti sama ada kami akan kembali lagi.",Mad Ramen Bar,Ipoh,Negative,Malay
Sarah Grosinger (SarLouGro),5,"This place is not just a restaurant, it’s a whole experience. The minute you enter the Baboon House, you feel like you’re part of Jumanji! It was absolutely amazing and I loved everything about our visit: Service was outstandingly friendly",The Baboon House,Melaka,Positive,English
T.C. New,4,"Moderate food, the cold chicken is pretty good.",Restaurant Huat Chicken,Ipoh,Positive,English
Wen Jun Goh,5,Still one of the best Nyonya food around after trying so many different famous restaurants each time. The food is relatively more flavorful (and also saltier) than other Nyonya food I tried but it's just my cup of tea. We still go there everytime we visit Melaka.,Restoran Nyonya Makko,Melaka,Positive,English
Bevan Tan,5,Delicious briyani. Cozy atmosphere with classy setting. Fancy briyani experience.,Village Briyani Cafe,JB,Positive,English
Chapman Chu,5,"Burdock, Lin Geyu, Zheng!",Mun Choong Restaurant,Ipoh,Positive,English
mighty Thor,5,Good food,Porkie's By Flavours,Kuching,Positive,English
KaiMun Lum,5,It's really the Best Chicken chop in town. Must try.Make sure you arrived before 12pm to secure a place or else you might end up with long queue.,It Roo Cafe,JB,Positive,English
Helmi Jr.,4," Barisan boleh agak panjang terutamanya pada hujung minggu dan cuti umum. Makanan biasanya sedap, rasa Ayam Goreng Flaming sangat sedap, separuh bahagian ayam dengan harga yang berpatutan RM26++ (pada masa penulisan). Terdapat banyak pilihan makanan yang sedap, tetapi tidak banyak pilihan makanan yang sedap. Ia hanya boleh didapati di kedai-kedai di mana anda boleh membeli makanan yang sedap.",K Fry Urban Korean Holiday Villa,JB,Positive,Malay
Mituran Ishwar,1,Terrible service. Food tasted below average,Selvam Restaurant,Melaka,Negative,English
Herman Bo,5,"The food is cheap, pretty good.",Zhong Tai Seafood Restaurant,Melaka,Positive,English
david chee,4, Have the taste of old Johor Bahru Bahru Johor Bahru lama. Rasa seperti Johor Bahru lama.,Hwa Mei Bak Kut Teh 华美肉骨茶,JB,Positive,Malay
Patrick Ng,5,Food came fast. Tasty and homely. Absolutely 5 stars.,Restoran Kah Kah Loke (Johor Jaya总行),JB,Positive,English
Vivan Y,2, Tidak bernilai untuk wang.,Morel Restaurant,Ipoh,Negative,Malay
Prince Ivan,5, Delicious delicacy. Tempat yang bersih. Tempat yang bersih. Tempat yang bersih. Tempat yang bersih. Tempat yang bersih.,北栈食馆 Bei Zhan Restaurant,Melaka,Positive,Malay
Akira Lo,4,Food is nice with reasonable price. Upstairs got aircon,Bukit Mata Seafood Restaurant Sdn Bhd,Kuching,Positive,English
Genie Ma,3," Duck adalah meh tetapi wagyu adalah hebat. Ini adalah restoran yang sangat mahal dengan makanan yang baik, pemandangan yang baik, dan perkhidmatan yang canggung. Pendidikan kakitangan yang betul diperlukan. Pendidikan kakitangan yang betul diperlukan. Pendidikan kakitangan yang betul diperlukan.",Spice Grill,JB,Neutral,Malay
Ben Lim,5,Quite empty on this Sunday night. Ambience is very good very comfortable. Staff very friendly. Food was so-so. Pricey. Chix wings too dry. Cod fish many bones! Mushroom soup was good.,"L.table, Taman Pelangi",JB,Positive,English
Evonly Ng,5,"Definitely one of my fav restaurant right now. The foods were so good the first time we came here and now, our second time, the foods still great. The foods are really well cooked. Very delicious and yummmmy. My fav is the dim sum. The",Dragon-i Restaurant Sdn Bhd (Komtar),JB,Positive,English
Iskandar Mustanir,5,Hangouts ..there are a variety of delicacies Food is open 24 hours,"Warong Nusantara Bukit Mata Kuching, Kuching, Sarawak.",Kuching,Positive,English
Zulaikha Zainal Abidin,3,"Mee rebus started only after 8.30am. If u want to eat mee rebus, do not come early.",Restoran Mee Rebus Ramli @ Taman Tasek Jaya,Ipoh,Neutral,English
J Luke,5,A must try Foei Gras!!!,Wa Zen Japanese Restaurant,Melaka,Positive,English
Najmi Pasarudin,5,Crazy Meat pizza is great. But car park a bit confusing from google map.,Miker Food,Ipoh,Positive,English
The Power To Control OnnPower&Control,2," Jujurnya, nama itu terlalu nyata. Banyak orang tahu bahawa mereka perlu menunggu untuk kali pertama untuk makan. Bagi saya, saya ada masa untuk menunggu pelancong bertanya soalan, menunggu selama 50 minit untuk melihat ke depan. Saya menunggu pelancong bertanya, menunggu selama 50 minit untuk melihat ke depan. Saya menunggu pelancong bertanya, menunggu selama 50 minit untuk melihat ke depan.",Ipoh Tuck Kee Restaurant 德记炒粉专门店,Ipoh,Negative,Malay
Alamnikie Nikie,5,the best,Mat Corner Nasi Ambang,JB,Positive,English
Patrick Tan,4,Food is ok. Price abit on the high,Chakra Restaurant,JB,Positive,English
Zahidi Yusof,3," Tempat yang terkenal untuk mendapatkan Kolam Kacang di JB, Johor Bahru.",Restoran Kacang Pool Haji,JB,Neutral,Malay
NoorAhmadBomba AnsonFireFighter,5, Pilihan makanan yang sedap di sini... Tempat yang luas dan selesa untuk seluruh keluarga dan rakan-rakan untuk sebarang majlis... Tempat yang selesa dan selesa untuk semua keluarga dan rakan untuk sebarang majlis...,Restoran Simpang Tiga,Ipoh,Positive,Malay
Eu Sze Kwang,5," Alam semula jadi, dalaman kelas. Sedap, kopi kopi yang baik. Kopi kopi yang baik. Kopi kopi yang baik.",Blendsmiths,Kuching,Positive,Malay
Queenie Loke,3," Staff Ah Ling di sini sangat kasar. Makanan datang dalam satu pukulan semasa Tahun Baru Cina, yang mana meja tidak dapat memuatkan semua makanan. Meminta untuk tidak menyajikan seperti itu. Tetapi cara dia bercakap seperti mengancam saya. Makanan dan makanan, dan cara dia bercakap, makanan dan mengancam saya. Makanan dan cara dia bercakap, makanan dan mengancam saya. Makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan, dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan, dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan dan cara dia bercakap, makanan, makanan, dan cara dia bercakap, makanan dan cara dia bercakap, makanan, makanan, dan cara dia bercakap, makanan, makanan, dan cara dia bercakap, makanan, makanan, makanan, dan cara dia bercakap, makanan, makanan, makanan, dan cara dia bercakap, makanan, makanan, makanan, dan cara dia bercakap, makanan, makanan, makanan, makanan, dan cara dia bercakap, makanan, makanan, makanan, makanan, dan cara dia bercakap, makanan, makanan, makanan, makanan, makanan, dan cara dia bercakap, makanan, makanan, makanan, makanan, makanan, dan cara dia bercakap, makanan, makanan, makanan, makanan, makanan, makanan, dan cara dia bercakap, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, dan cara dia bercakap, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan, makanan,",1919 Restaurant Ipoh,Ipoh,Neutral,Malay
Zain Ansari,5,"We had the beef rib and a lamb rack, the smoked meat is just too delicious.  The sides are too damn amazing. Proper meat",Swood Smokehouse Texas BBQ,JB,Positive,English
Alex SL Lee,5, Pemandangan yang indah dan makanan segera yang sedap dan makanan yang sedap.,New Zealand Unlimited,JB,Positive,Malay
Sam Tan,3," Cadangan oleh rakan sekerja saya untuk restoran Nonya ini. Makanannya sedap. Namun, kebanyakan hidangan agak masin. Saya pergi ke tempat itu pada pukul 1.15 petang, restoran sangat penuh dan ramai pelanggan menunggu dalam barisan. Ramai pelanggan menunggu dalam barisan.",Restoran Nyonya Makko,Melaka,Neutral,Malay
Danny Ooi,4,Very nice food with variety of food served here.,East Ocean Seafood Restaurant Menglembu,Ipoh,Positive,English
yadi maryon,5,"I love the place. Great coffee and foods. Try their kopi o extra, hor fun noddle and lempeng sotong. Yummmy",Chamek Kopitiam BBU,JB,Positive,English
Mala Mala,5, Tempat makan yang bagus untuk keluarga bahagia.,The Spice Kitchen,JB,Positive,Malay
Edith A,4,Cant be more authentic than this restaurant for its nonya food.,SamFu Restaurant,Melaka,Positive,English
cheryl cheahling,5,"The deco is so nice until we can take some pictures after dim sum. Food are very delicious and the waiter and waitress are friendly. Surprisely, the price is reasonable :)",Canning Dim Sum,Ipoh,Positive,English
Stephen Jong,4,"Not bad, the food n the price.",Fook Xing Seafood Sdn. Bhd.,Kuching,Positive,English
dannychipmunk,3,Food and the friendly atmosphere one will enjoy in dinning!,Bert's Garden Seafood,Melaka,Neutral,English
Patricia Paskalia,4, Hiasan yang indah dan boleh membuat pesta teh Jepun di tingkat atas di tingkat atas.,人間茶坊之老店 Life Cafe @ Padungan,Kuching,Positive,Malay
Joshua Loo,4,Pricey but taste is not bad,Mun Choong Restaurant,Ipoh,Positive,English
Clifford Yap,5,"Traditional food and has elements, twists which surprised me! Wonderful find",Nancy's Kitchen,Melaka,Positive,English
Maggie Su Su Tiong,5,"Food was great and place was full of ppl, so be prepared to wait even at non peak hour!",K Fry Urban Korean Holiday Villa,JB,Positive,English
Ahmad Zaelani,1,"This restaurant challenges your patience 😂😂😂😂😂. 1,5 hours waiting, eating without any drops of water.",Bert's Garden Seafood,Melaka,Negative,English
Nathan Hell,4,Nice Indian spiced food. Worth and delicious,Selvam Restaurant,Melaka,Positive,English
stephen kew,4,One of the best chicken rice in town,Restoran Nasi Ayam Pak Kong,Ipoh,Positive,English
Emmanuel Michael,1,OVERPRICED!! Taste does not match the price. Taste like normal Rm9  mamak briyani.,Village Briyani Cafe,JB,Negative,English
Joel Ong,4,Authentic pizza for bacon lovers!,MichelangelO's Pizzeria,Ipoh,Positive,English
Lee Jac,1,"One of the worst restaurants you can visit in Malacca, used to be very good, but it seems that after the renovation and change of location, the food has become horrible in standard, the staff are rude and have attitude problems, and",Teo Soon Loong Seafood Restaurant,Melaka,Negative,English
Patrine Thoong,5,Best food. Great value!!!,Restaurant Teck Sing,JB,Positive,English
UHLALA DESIGN,4," Ayam Bakar yang sedap, tetapi ayam teriyaki mereka mempunyai rasa seperti sos soya (kicap pekat ada bijan je). Kicap pekat ada bijan je.",It Roo Cafe,JB,Positive,Malay
Simon Ong,4,Halal dim sum place.,Canning Dim Sum,Ipoh,Positive,English
Brutus Chua,5,Nice,Howdy Grillhouse,Kuching,Positive,English
Noacry Lovepeace,5,Deliciously yummy,Makino Kochi Ramen Bar,Kuching,Positive,English
Joe Chew,5,"One of the popular eatery place in kuching. Lots of choices for breakfast. Personally love the popiah (spring roll) and the porridge.   Many loves the roasted pork, duck and chicken. Must try",Min Hong Kee,Kuching,Positive,English
Teng Jeremy,5,"Pretty accessible from AEON of Tebrau City by car. Beauty landscape and surrounding, making your meal there a pleasant one.",Tropique Café & Restaurant,JB,Positive,English
Christopher Wui,4," Tempat makan tengahari yang baik dengan keluarga & rakan-rakan. Berdekatan dengan Jonker St. Staffnya mesra. Kami pergi ke sana pada pukul 2 petang. Makanan disajikan dengan cepat mungkin kerana waktu makan tengahari puncak. Namun, restoran tidak menerima pembayaran melalui kad. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Fave pay atau Alibaba pay. Tetapi anda masih boleh membayar melalui Alibaba pay.",我家餐館Our Kitchen Nyonya Restaurant,Melaka,Positive,Malay
Veerendra Chitturi,5,"Try their Tangri Kabab. Man, heaven on earth scenes",Tandoor Grill,Ipoh,Positive,English
Juliana,3,Share with you today before you decide to eat this store ❤️1) place,Alfresco,Kuching,Neutral,English
Raymond T,5,Love their Briyani,Tok Janggut Cafe (Beryani),Kuching,Positive,English
Vishnu Rao,5,"Tried their pork ramen, wonderful. They have set lunch as well",Yaoki Japanese Foods Sdn. Bhd.,JB,Positive,English
JCSK,4,Very good Vietnamese cuisine. Cheap and affordable! Quality are high as well. :-),Saigon Cafe,JB,Positive,English
Hew Choon Kok,4,Come back for a long time15/04/2019 Western cuisine stir-fried pork ★★★★★15/04/2019 Niang white tofu ★★★★,Restoran Wong Koh Kee,Ipoh,Positive,English
Sam Tech,5,Famous Ipoh Old Town Tarts King,Ipoh OldTown Tartking (Ipoh@葡挞皇),Ipoh,Positive,English
Izaty Zaty,5, Naan cheese extra yang sangat baik! Saya rasa ini adalah cheese cheese paling sedap di bandar dengan harga yang sangat berpatutan. Saya juga ingin memuji perkhidmatan pelanggan mereka. Pemiliknya sangat ramah dan membantu. Mari cuba hari ini! Selamat mencuba!,Ceylonese Restaurant Sdn Bhd,Kuching,Positive,Malay
Yn Yn,4,Yummy,Vegan Delights Cafe,Ipoh,Positive,English
Coco happyprincess,5,I like this tiny cafe very much . Serves good choices of food . Often full house .,Trois by navy,Melaka,Positive,English
Kenny Chin,4, Sudah banyak kali di sini. Jangan pernah mengecewakan. Jangan pernah mengecewakan. Jangan pernah mengecewakan.,Cottage Spices Nyonya Restaurant,Melaka,Positive,Malay
Adam Teoh,3,their dim sum is OK,Foh San Restaurant,Ipoh,Neutral,English
Ng Leanne,5," Seperti suasana, kek Cheese adalah satu pilihan yang wajib dicuba! (Abang saya mengatakan Curry laksa sedap) Saya suka pasta itik yang berbau asap! Tentu saja, kopi akan menjadi pilihan saya! ლ(´ڡ`ლ) ლ(´ڡ`ლ) ლ(´ڡ`ლ) ლ(´ڡ`ლ) ლ(´ڡ`ლ) ლ(´ڡ`ლ) ლ) ლ(´ڡ`ლ) ლ) ლ(´ڡ`ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) ლ) ლ(ლ) �",Chop Tiang Bee Cafe,Melaka,Positive,Malay
Ralph Yong,3,"Anyone who enters into Chop Tiang Bee Cafe 长美号 will definitely feels like stepping into a landed estate. With it's gate welcomes you to a stone pavement that leads to the inner door while the view is equally homely and relaxing with a pond,",Chop Tiang Bee Cafe,Melaka,Neutral,English
Raj Daniel,5,Delicious food,Tandoor Grill,Ipoh,Positive,English
Mohamad Fajri Haimi,4,"Nice food, delicious seafood. Variety of seafood. Refreshing coconut water with longan.",Topspot Food Court,Kuching,Positive,English
Hem Raj Aravindan,5," Makanan yang hebat!.. kari ikan, ikan goreng dan potongan ikan adalah satu-satunya pilihan. Ikan goreng siakap besar, digoreng dengan lapisan rempah. Potongan ikan siakap, kentang, dan banyak rempah, juga sangat sedap. Harga nasi, sayur, 1 ikan dan 2 potongan ikan adalah RM25, yang saya rasa sangat berbaloi. Harga nasi, sayur, 1 ikan dan 2 potongan ikan adalah RM25, yang saya rasa sangat berbaloi. Harga untuk nasi, sayur, dan 1 ikan dan 2 potongan ikan adalah RM25, yang saya rasa sangat berbaloi. Harga untuk nasi, sayur, dan 1 ikan dan 2 potongan ikan adalah RM25, yang saya rasa sangat berbaloi. Harga untuk nasi, sayur, dan 1 ikan dan 2 potongan ikan adalah RM25, yang saya rasa sangat berbaloi. Harga untuk nasi, sayur, dan 1 ikan dan 2 potongan ikan adalah RM25. Saya rasa sangat berbaloi. Harga untuk 1 ikan dan 2 keping ikan adalah RM25. Saya rasa sangat berbaloi. Harga untuk 1 ikan dan 2 keping ikan adalah RM25. Harga untuk 2 keping ikan adalah RM25. Saya rasa sangat berbaloi.","Kerala Restaurant, Johor Bahru",JB,Positive,Malay
Siti Haida Harizan,5,Fast service and its mee rebus is fabulous,Restoran Mee Rebus Ramli @ Taman Tasek Jaya,Ipoh,Positive,English
lyod chong,5,Good taste and price,Restoran Ah Meng,JB,Positive,English
Crispin Ali Basah,5,No brainer for tourists to come here and have good seafood. Always at No 10 ABC stall. Dont pre order unless u want your steamed fish to arrive at your table before you do. No credit card but wont need too much cash. Price is affordable.,Topspot Food Court,Kuching,Positive,English
Emily Poh,4, 2 hidangan tanda tangan itu bagus...sedikit mahal... walaupun sedikit mahal...,Teo Soon Loong Seafood Restaurant,Melaka,Positive,Malay
Chong Hwi,3," Tiada banyak varieti, sesuatu yang baru untuk dicuba tetapi tidak akan kembali untuk lawatan kedua. Saya akan mencuba kedua-dua kali tetapi tidak akan kembali untuk lawatan kedua.",田園粥火锅 Farmland Porridge Steamboat,JB,Neutral,Malay
CT,3," Steamed dim sum ok, tastelnya saya katakan biasa-biasa saja. Chee Cheong Fen juga biasa-biasa saja (purata). Kek lobak goreng agak sedap. Kek lobak goreng agak sedap. Kek lobak goreng agak sedap.",Gui Yuan Restaurant,JB,Neutral,Malay
Pan Mei Hua Pan,5,Mei Yee,Canton-i Restaurant @ Johor Bahru City Square,JB,Positive,English
Liza Talib,3," Saya dibayar RM82/pax tetapi tidak banyak variasi, mereka mengatakan ia adalah makan malam separuh buffet. Tidak berbaloi. Tidak berbaloi.",Infusion Café | Restaurant,JB,Neutral,Malay
Devlin Redfield,5,This is very cozy and elegant. It's also a good place to bring your partner (girlfriend/boyfriend) for a date because this place is quite,Bella Italia,Kuching,Positive,English
Ben Ong,4,"Quite packed the last visit. Your usual kopitiam experience. Find kolo mee, sarawak laksa, mee sua, kaya toast. Clean for a kopitiam and the sink outside for customers is a big plus.",Sung Heng Cafe,Kuching,Positive,English
Mohd Firza,3,Abit hot...,Restoran Kacang Pool Haji,JB,Neutral,English
James Tai,4,Nice ambience with lots of plants.,Mok Mok Brunch & Bistro,JB,Positive,English
Velu Ji Mahen,5,"Nice place to eat,tasty filter coffer",Restaurant Sri Aryaa Bhavan Ipoh,Ipoh,Positive,English
AJ Tongkat Ali,1,Expensive. Slow service and food not so good.,David's Diner,Ipoh,Negative,English
jinsoo lee,5, Restoran Cina yang sedap. Restoran terbaik di Johor Bahru yang mewah. Restoran terbaik di Johor Bahru. Restoran terbaik di Johor Bahru. Restoran terbaik di Johor Bahru.,Restaurant Loon Sing (JB) Sdn Bhd,JB,Positive,Malay
